Date,equity,benchmark_equity
2024-04-19,10000.0,10000.0
2024-04-22,10001.440349171124,10011.408986571678
2024-04-23,10022.755277151222,10127.359656905539
2024-04-24,10065.385133111418,10180.780305760021
2024-04-25,10107.853671096289,10102.080608256842
2024-04-26,10152.642885969111,10182.670530202206
2024-04-29,10202.293570087466,10245.301402067773
2024-04-30,10029.736684892801,10020.05269732978
2024-05-01,10056.517229997879,10035.11454025889
2024-05-02,10149.082088708788,10165.533717911047
2024-05-03,10356.153091419596,10488.88326304555
2024-05-06,10322.741598997498,10547.838573858167
2024-05-07,10336.546189024415,10530.583741009526
2024-05-08,10343.348709231901,10547.737287889362
2024-05-09,10379.961297200922,10619.26815535098
2024-05-10,10354.517645524476,10618.307062264023
2024-05-13,10419.227987250533,10675.327882904587
2024-05-14,10442.266589520768,10738.088496285349
2024-05-15,10524.630555941927,10888.112600656505
2024-05-16,10510.285792494455,10865.822275627906
2024-05-17,10504.636420389801,10865.007047273546
2024-05-20,10569.186169782728,10935.398224421146
2024-05-21,10625.082247602144,11001.305199647439
2024-05-22,10607.893031631422,10974.212994448757
2024-05-23,10499.148095024739,10838.058130493077
2024-05-24,10586.575976944856,10950.080204909253
2024-05-28,10588.059891037768,10954.089832777054
2024-05-29,10584.853731656402,10925.741864638218
2024-05-30,10488.688249034241,10801.698177259776
2024-05-31,10511.60726499498,10856.685927945815
2024-06-03,10534.365595130508,10881.984609983981
2024-06-04,10561.21184025091,10913.625270483826
2024-06-05,10655.29221176044,11052.390384411197
2024-06-06,10631.531669296737,11028.585022885582
2024-06-07,10674.445297670776,11067.184044599882
2024-06-10,10631.131678192281,11035.806049991386
2024-06-11,10950.754498593658,11367.021044902838
2024-06-12,11016.087714879635,11585.549258878325
2024-06-13,11020.254866586249,11620.72957095341
2024-06-14,11028.18854879228,11595.949174344161
2024-06-17,11074.668260864506,11757.335989104831
2024-06-18,11058.400522085181,11701.787144166996
2024-06-20,11053.271682009363,11593.667460446879
2024-06-21,11085.967852362764,11578.671104972593
2024-06-24,11069.059070283945,11562.301538125319
2024-06-25,11095.344067122607,11622.383184864088
2024-06-26,11105.040680112232,11721.195405462651
2024-06-27,11110.569894555314,11749.829165218787
2024-06-28,11063.2889400687,11616.164239629457
2024-07-01,11141.663086400082,11828.61664597967
2024-07-02,11162.09797688602,11945.361200115025
2024-07-03,11174.03836484384,11999.986495830215
2024-07-05,11228.4517591221,12174.353882117619
2024-07-08,11217.873680740679,12197.446478711681
2024-07-09,11164.181552739325,12162.545840856956
2024-07-10,11217.95390371809,12341.941540078025
2024-07-11,11125.395594460688,12104.285034947452
2024-07-12,11116.179331975805,12178.04550463107
2024-07-15,11119.46501829062,12269.516203976942
2024-07-16,11083.884029669527,12263.303825581357
2024-07-17,11035.801585928597,12040.571447027114
2024-07-18,11010.558253596624,11890.97340051975
2024-07-19,10984.433702712782,11841.8064954485
2024-07-22,11031.153590037382,11921.31151807343
2024-07-23,11046.45988728743,11952.53562981885
2024-07-24,10918.640987638717,11605.151226181582
2024-07-25,10834.49671109209,11477.58596003313
2024-07-26,10827.868399601224,11584.75029707871
2024-07-29,10827.868399601224,11604.703602370282
2024-07-30,10827.868399601224,11565.71354706804
2024-07-31,10827.868399601224,11652.762360889914
2024-08-01,10793.633357471595,11515.206146706154
2024-08-02,10725.186284644746,11405.758923926547
2024-08-05,10619.258894075163,10977.247306991863
2024-08-06,10687.397154461984,11005.334610624963
2024-08-07,10730.28138027728,11024.243393162038
2024-08-08,10872.345194092677,11210.441434366907
2024-08-09,10972.765633090565,11312.885556107387
2024-08-12,11011.924498833021,11352.39344163045
2024-08-13,11200.353993434654,11546.616366412398
2024-08-14,11242.937635725657,11590.909964842207
2024-08-15,11359.173903143794,11754.976524503327
2024-08-16,11386.038159259213,11768.730880476845
2024-08-19,11382.806112954706,11826.601438778296
2024-08-20,11395.329286047203,11860.299357958596
2024-08-21,11393.107292918141,11865.449385594005
2024-08-22,11355.335886862478,11726.519833325907
2024-08-23,11401.994955792088,11823.080210782688
2024-08-26,11408.862202672848,11793.393777056823
2024-08-27,11426.031558443938,11818.616316380578
2024-08-28,11394.925202848564,11738.65423098744
2024-08-29,11461.58066172824,11826.553350020171
2024-08-30,11452.965630124807,11879.942292469485
2024-09-03,11265.441989342145,11612.259802429435
2024-09-04,11222.333838486522,11561.465651541212
2024-09-05,11249.152640737519,11579.063311540232
2024-09-06,11164.047542042934,11429.717367651698
2024-09-09,11198.070155948048,11505.673755119804
2024-09-10,11196.875275769658,11576.311256068591
2024-09-11,11302.65498792078,11739.285309603005
2024-09-12,11335.951073138673,11805.889218902468
2024-09-13,11358.666883318823,11850.004354174394
2024-09-16,11239.724583426927,11737.251833346954
2024-09-17,11279.113938301974,11780.078850243939
2024-09-18,11323.833599269645,11811.262949302474
2024-09-19,11550.892581512166,12106.209993807388
2024-09-20,11510.522494257639,12057.528764941737
2024-09-23,11461.768738223505,12017.5128493152
2024-09-24,11445.892262059893,12010.386705956684
2024-09-25,11448.76294384312,12006.296899432567
2024-09-26,11465.713908407291,12038.00556164117
2024-09-27,11445.351259403418,12010.394667103212
2024-09-30,11568.478219055742,12149.866770403449
2024-10-01,11355.920594349966,11898.170472389178
2024-10-02,11339.499166317824,11881.553132512321
2024-10-03,11312.448644820075,11847.25368540206
2024-10-04,11331.50692101003,11900.741152202965
2024-10-07,11227.088386821695,11708.441816349787
2024-10-08,11267.656357624788,11869.984101302269
2024-10-09,11289.235332430162,11995.652904232815
2024-10-10,11285.075956028213,11965.252269149241
2024-10-11,11255.502803071033,11962.434826585126
2024-10-14,11329.933470082768,12093.465712494011
2024-10-15,11380.546542724662,12110.986282569158
2024-10-16,11339.46014270751,12064.336481457412
2024-10-17,11346.804291450515,12077.14114307071
2024-10-18,11403.371610550204,12161.688158299763
2024-10-21,11432.746988444911,12190.240488903844
2024-10-22,11420.441119788407,12248.545629475913
2024-10-23,11319.215278773945,12085.579183021513
2024-10-24,11315.443860467216,12091.243885850781
2024-10-25,11332.116906772488,12135.386755966516
2024-10-28,11371.61441236465,12174.52069100185
2024-10-29,11376.97350801906,12231.039296153069
2024-10-30,11306.1155714436,12152.07355645341
2024-10-31,11222.95146194231,11772.530005647546
2024-11-01,11163.406867479058,11761.763345124651
2024-11-04,11145.543215297688,11719.39735670335
2024-11-05,11174.125058787879,11819.829876678932
2024-11-06,11159.635449172329,11974.39556518016
2024-11-07,11254.113205055153,12144.931782743879
2024-11-08,11248.748328283531,12132.71148166444
2024-11-11,11194.502888417293,12043.629669470134
2024-11-12,11194.502888417293,12073.029275429686
2024-11-13,11212.187021695801,12111.05934233462
2024-11-14,11273.784521307542,12161.896768941275
2024-11-15,11209.803071519664,11946.50967320387
2024-11-18,11269.810763898435,12029.949154314818
2024-11-19,11274.976648530273,12066.60936475388
2024-11-20,11289.283088011041,12063.281674674608
2024-11-21,11279.745765959857,12059.947557121013
2024-11-22,11306.570149817964,12134.12237976317
2024-11-25,11366.180162186498,12223.231592277894
2024-11-26,11409.695544240167,12365.385106847698
2024-11-27,11407.11229765492,12308.686925871829
2024-11-29,11454.800733526803,12386.08138753792
2024-12-02,11499.706930673658,12501.86926016969
2024-12-03,11560.509374534251,12567.347182259364
2024-12-04,11567.66244213997,12651.8778837371
2024-12-05,11568.258810020663,12689.258528627328
2024-12-06,11564.284748342228,12700.90731911203
2024-12-09,11641.976573999507,12779.25320000671
2024-12-10,11662.24425813259,12764.685557948651
2024-12-11,11636.810689367669,12817.557497302412
2024-12-12,11666.019631940568,12830.933406387996
2024-12-13,11669.397630007636,12814.398830370794
2024-12-16,11727.218843003417,12926.624110232451
2024-12-17,11775.702030357123,12983.056226940458
2024-12-18,11667.807822774666,12609.499095049627
2024-12-19,11702.381337849862,12640.39102292388
2024-12-20,11795.770722350422,12779.006979711843
2024-12-23,11811.269593323248,12807.351140126812
2024-12-24,11869.488790598594,12945.235015076807
2024-12-26,11885.781804514589,12951.847383136708
2024-12-27,11817.62760517782,12776.481223320174
2024-12-30,11743.349004281554,12614.545926874007
2024-12-31,11743.349004281554,12536.319090585363
2025-01-02,11743.349004281554,12369.579977032656
2025-01-03,11743.349004281554,12448.943023580638
2025-01-06,11743.349004281554,12542.705412053761
2025-01-07,11743.349004281554,12395.123565839382
2025-01-08,11743.349004281554,12429.13896511083
2025-01-10,11743.349004281554,12203.393135306162
2025-01-13,11743.349004281554,12145.300586507468
2025-01-14,11743.349004281554,12115.381689176436
2025-01-15,11743.349004281554,12368.514007002866
2025-01-16,11743.349004281554,12152.404453125075
2025-01-17,11743.349004281554,12264.442401841337
2025-01-21,11743.349004281554,12148.804193567787
2025-01-22,11743.349004281554,12343.781319543663
2025-01-23,11711.83880675132,12366.961117547076
2025-01-24,11692.27266358397,12315.01517350035
2025-01-27,11849.687697045438,12320.367794660939
2025-01-28,12036.450753632862,12630.399822999721
2025-01-29,12060.908007011669,12593.562689203594
2025-01-30,12021.554418878455,12350.921706592477
2025-01-31,11986.202988655283,12297.683410761943
2025-02-03,11808.554842452175,12074.461450432482
2025-02-04,11915.055141361772,12210.329853154102
2025-02-05,11907.717795115977,12227.837299041958
2025-02-06,11924.39305586613,12278.315005338738
2025-02-07,11800.106901642146,12077.256459059505
2025-02-10,11806.115756168248,12130.916429375098
2025-02-11,11916.739077816308,12227.906919882462
2025-02-12,12011.336404144624,12280.529419469967
2025-02-13,12115.059535715029,12430.226455744916
2025-02-14,12183.392424131445,12474.395892057844
2025-02-18,12188.682232880721,12493.975650648994
2025-02-19,12238.430073567597,12554.694836307874
2025-02-20,12265.60074826153,12575.235161501463
2025-02-21,12259.368208686774,12432.711388927197
2025-02-24,12293.868478146433,12410.30711053616
2025-02-25,12261.222785835876,12337.911325241254
2025-02-26,12127.609323749013,12220.318693383002
2025-02-27,12000.20354731378,12034.078376872303
2025-02-28,12097.477461695347,12224.820388584427
2025-03-03,12012.67359111202,12006.320165047186
2025-03-04,11965.931587087201,11918.252919775223
2025-03-05,11961.702679949758,12060.297033522904
2025-03-06,11952.576874707669,11947.526178746808
2025-03-07,12064.501808510333,12014.745049149415
2025-03-10,11646.868136312458,11566.804004638827
2025-03-11,11470.66357573799,11403.6270804271
2025-03-12,11402.731927138171,11369.195596186479
2025-03-13,11194.828832513645,11133.697990313392
2025-03-14,11349.071136179064,11369.62768040294
2025-03-17,11386.881067202768,11410.401841907387
2025-03-18,11320.352096496674,11299.133078466908
2025-03-19,11414.3591555324,11427.941990473193
2025-03-20,11378.987020483712,11385.62475205668
2025-03-21,11472.941050459958,11508.18359412402
2025-03-24,11589.45525976551,11641.524978853275
2025-03-25,11665.113572978024,11729.319208102692
2025-03-26,11573.691822574832,11594.44613481979
2025-03-27,11616.097656253747,11636.207242840239
2025-03-28,11413.830445787555,11339.926659607787
2025-03-31,11530.79098313457,11422.057357774356
2025-04-01,11564.04575966866,11511.172509906215
2025-04-02,11601.33407857185,11548.93236349502
2025-04-03,10970.476600210357,10866.66413527904
2025-04-04,10448.706935941347,10243.476460449885
2025-04-07,10289.176905356906,10080.978009908391
2025-04-08,9917.305882595641,9817.187576683404
2025-04-09,11132.852074894236,11005.38106267861
2025-04-10,10719.755055729662,10595.679544117684
2025-04-11,11009.994026693223,10874.742622030513
2025-04-14,11158.600001840356,10992.738735234778
2025-04-15,11132.286168255601,10957.4013324575
2025-04-16,10835.902522226668,10599.127059349823
2025-04-17,10897.072888714361,10626.850058722943
2025-04-21,10733.282585602057,10392.241496745306
2025-04-22,10963.786239788202,10680.2520878471
2025-04-23,11123.317749931826,10897.214279320197
2025-04-24,11278.07506080612,11157.907912377497
2025-04-25,11323.159642586954,11241.178787410425
2025-04-28,11343.621974409947,11254.191767472621
2025-04-29,11389.251023312603,11323.44619369248
2025-04-30,11370.37208377779,11361.225035635589
2025-05-01,11388.624034726274,11657.055145610671
2025-05-02,11211.22612978764,11634.985714150123
2025-05-05,11067.438180150028,11489.92772370208
2025-05-06,11058.980025410838,11426.385326949607
2025-05-07,11008.67642428717,11396.972418617584
2025-05-08,11036.276844133481,11488.903266614814
2025-05-09,11059.425352722308,11509.734462730286
2025-05-12,11338.463088146573,11977.5565242636
2025-05-13,11386.158051762222,12045.909820876082
2025-05-14,11372.785635238808,12070.703998464098
2025-05-15,11353.172848461618,12080.900241191286
2025-05-16,11348.938153430983,12111.953151445694
2025-05-19,11293.665475769923,12104.814953083098
2025-05-20,11250.873879080724,12046.55388658205
2025-05-21,11144.56287832493,11835.388102668065
2025-05-22,11128.293110562518,11841.409174779243
2025-05-23,10992.563270105244,11651.958895474114
2025-05-27,11102.66295765159,11921.678684585002
2025-05-28,11107.342979993693,11874.804462123684
2025-05-29,11096.86791470928,11892.090596514856
2025-05-30,11116.926709726553,11919.937318536671
2025-06-02,11135.87082460793,11973.13291044464
2025-06-03,11170.86204359598,12036.177045176115
2025-06-04,11160.83298655165,12033.548396654483
2025-06-05,11112.023683264408,12001.741829014825
2025-06-06,11185.348799790987,12132.20696188774
2025-06-09,11130.299126249967,12105.799240577144
2025-06-10,11157.489627072568,12138.131783018585
2025-06-11,11070.791753558273,12062.068623951222
2025-06-12,11080.15247917109,12139.2352672048
2025-06-13,11018.862094911989,12005.06379353964
2025-06-16,11062.768371737086,12118.478779290044
2025-06-17,11000.809315582166,12018.132314105089
2025-06-18,11021.759446150989,12055.014755941282
2025-06-20,11120.26972874133,12111.079784713495
2025-06-23,11131.41346592156,12233.280154747967
2025-06-24,11104.668632874733,12288.543599571196
2025-06-25,11132.750809713192,12334.482001722517
2025-06-26,11120.26972874133,12398.911725890332
2025-06-27,11122.05274030874,12408.49291060759
2025-06-30,11213.207972509404,12523.543031877818
2025-07-01,11272.269677425324,12530.780409369387
2025-07-02,11289.581159517578,12635.194264470783
2025-07-03,11289.581159517578,12755.941568589718
2025-07-07,11289.581159517578,12642.06306929438
2025-07-08,11289.581159517578,12631.73015579475
2025-07-09,11289.581159517578,12737.714406311115
2025-07-10,11289.581159517578,12758.310197624836
2025-07-11,11289.581159517578,12733.535275942704
2025-07-14,11289.581159517578,12687.712862424065
2025-07-15,11289.581159517578,12703.00909738045
2025-07-16,11289.581159517578,12736.695480646984
2025-07-17,11289.581159517578,12810.86463646718
2025-07-18,11289.581159517578,12817.350634371443
2025-07-21,11289.581159517578,12851.814313395429
2025-07-22,11289.581159517578,12851.039898126117
2025-07-23,11289.581159517578,12887.352426795507
2025-07-24,11289.581159517578,12922.962770525835
2025-07-25,11289.581159517578,12967.357039008086
2025-07-28,11289.581159517578,12959.547671980361
2025-07-29,11289.581159517578,12892.48795013883
2025-07-30,11289.581159517578,12847.771664746793
2025-07-31,11289.581159517578,12971.814782373162
2025-08-01,11289.581159517578,12717.611023505726
2025-08-04,11289.581159517578,12898.237408469824
2025-08-05,11271.660945707643,12801.546384057823
2025-08-06,11507.418178130318,13019.586363727078
2025-08-07,11662.154998197979,13118.713039031867
2025-08-08,11874.86155897702,13350.8114365974
2025-08-11,11831.220567038734,13301.304462300988
2025-08-12,11887.656292455296,13460.036402250338
2025-08-13,11971.73880852266,13476.779366451525
2025-08-14,11959.172085499567,13482.003693132747
2025-08-15,11931.982361678653,13428.249283317033
2025-08-18,11915.988509031007,13387.338971033183
2025-08-19,11908.448475217152,13295.397980069378
2025-08-20,11804.487910047705,13157.691208761436
2025-08-21,11779.126104906496,13112.358248849981
2025-08-22,11844.472715986734,13261.711301813597
2025-08-25,11830.763848848685,13205.290153302285
2025-08-26,11879.887899546417,13248.426728795737
2025-08-27,11906.849264272309,13321.843440631515
2025-08-28,11954.14539629033,13403.711911668384
2025-08-29,11944.549084701743,13344.110508125183
2025-09-02,11889.25585203998,13249.432038866431
2025-09-03,12089.179881735134,13452.142671348685
2025-09-04,12119.111309255692,13537.247315336124
2025-09-05,12117.055031480959,13413.55556685986
2025-09-08,12075.699373692107,13414.613811253414
2025-09-09,11995.044335889135,13355.074124461918
2025-09-10,11822.309681375056,13231.216882471606
2025-09-11,11896.338819023948,13339.025992152147
2025-09-12,11988.646794830078,13494.134820596442
2025-09-15,12048.738008966215,13617.09591151958
2025-09-16,12081.868207016303,13587.119874750337
2025-09-17,12101.061178833315,13606.807784392984
2025-09-18,12075.699373692107,13592.036296855214
2025-09-19,12249.804531416168,13848.381250518836
2025-09-22,12491.540937090222,14054.764525299937
2025-09-23,12453.841116660786,13952.718476359572
2025-09-24,12405.402491887966,13903.15284006426
2025-09-25,12509.591416152438,13948.491121671028
2025-09-26,12437.595643441045,13982.871997356557
2025-09-29,12437.595643441045,14001.090370709686
2025-09-30,12437.595643441045,14050.34539936858
2025-10-01,12437.595643441045,14097.215527101267
2025-10-02,12437.595643441045,14103.088011635979
2025-10-03,12437.595643441045,14134.58794340324
2025-10-06,12437.595643441045,14218.376585113187
2025-10-07,12437.595643441045,14158.55694654056
2025-10-08,12437.595643441045,14225.04473360451
2025-10-09,12437.595643441045,14109.740875079002
2025-10-10,12437.595643441045,13712.365492291017
2025-10-13,12437.595643441045,13854.99455879474
2025-10-14,12437.595643441045,13847.669048989052
2025-10-15,12437.595643441045,13898.308296841731
2025-10-16,12437.595643441045,13813.873436116355
2025-10-17,12437.595643441045,13954.004635296671
2025-10-20,12437.595643441045,14229.575962153349
2025-10-21,12437.595643441045,14247.560054833626
2025-10-22,12437.595643441045,14160.529257246293
2025-10-23,12420.893230551474,14210.549068799726
2025-10-24,12493.042744336475,14339.209476320731
2025-10-27,12626.429199570304,14581.470681425208
2025-10-28,12630.660216843005,14686.457704760345
2025-10-29,12625.09316038654,14661.01682171609
